NRO	ID	PVM	TUOTE	HINTA
864	ASIAKAS_91	1.1.2014	C	50
1128	ASIAKAS_119	1.1.2014	C	50
2162	ASIAKAS_227	1.1.2014	C	50
2592	ASIAKAS_272	1.1.2014	A	10
2640	ASIAKAS_277	1.1.2014	A	10
3243	ASIAKAS_342	1.1.2014	C	50
3472	ASIAKAS_365	1.1.2014	C	50
3595	ASIAKAS_379	1.1.2014	A	10
3683	ASIAKAS_388	1.1.2014	B	25
3819	ASIAKAS_402	1.1.2014	C	50
3887	ASIAKAS_409	1.1.2014	A	10
4133	ASIAKAS_434	1.1.2014	B	25
4482	ASIAKAS_470	1.1.2014	B	25
4596	ASIAKAS_482	1.1.2014	C	50
4624	ASIAKAS_485	1.1.2014	B	25
4654	ASIAKAS_488	1.1.2014	B	25
5774	ASIAKAS_602	1.1.2014	B	25
5803	ASIAKAS_605	1.1.2014	B	25
5812	ASIAKAS_606	1.1.2014	B	25
5932	ASIAKAS_618	1.1.2014	B	25
6278	ASIAKAS_654	1.1.2014	C	50
6304	ASIAKAS_657	1.1.2014	B	25
6353	ASIAKAS_662	1.1.2014	B	25
6818	ASIAKAS_710	1.1.2014	C	50
7262	ASIAKAS_756	1.1.2014	B	25
7523	ASIAKAS_783	1.1.2014	A	10
7758	ASIAKAS_808	1.1.2014	C	50
8155	ASIAKAS_850	1.1.2014	A	10
8483	ASIAKAS_884	1.1.2014	A	10
8862	ASIAKAS_923	1.1.2014	B	25
8969	ASIAKAS_934	1.1.2014	C	50
9210	ASIAKAS_959	1.1.2014	A	10
9298	ASIAKAS_968	1.1.2014	A	10
9485	ASIAKAS_987	1.1.2014	B	25
10215	ASIAKAS_1088	1.1.2014	C	50
11929	ASIAKAS_1435	1.1.2014	E	100
12029	ASIAKAS_1465	1.1.2014	E	100
12275	ASIAKAS_1536	1.1.2014	C	50
12501	ASIAKAS_1600	1.1.2014	A	10
12554	ASIAKAS_1615	1.1.2014	C	50
12561	ASIAKAS_1617	1.1.2014	A	10
335	ASIAKAS_36	2.1.2014	A	10
1455	ASIAKAS_153	2.1.2014	B	25
1806	ASIAKAS_190	2.1.2014	B	25
2131	ASIAKAS_224	2.1.2014	A	10
2353	ASIAKAS_247	2.1.2014	C	50
2971	ASIAKAS_313	2.1.2014	B	25
3139	ASIAKAS_331	2.1.2014	A	10
3311	ASIAKAS_349	2.1.2014	B	25
3409	ASIAKAS_359	2.1.2014	A	10
3525	ASIAKAS_371	2.1.2014	A	10
3936	ASIAKAS_414	2.1.2014	C	50
4052	ASIAKAS_426	2.1.2014	A	10
4454	ASIAKAS_467	2.1.2014	B	25
4548	ASIAKAS_477	2.1.2014	B	25
4674	ASIAKAS_490	2.1.2014	A	10
5032	ASIAKAS_526	2.1.2014	C	NA
5157	ASIAKAS_539	2.1.2014	A	10
5186	ASIAKAS_542	2.1.2014	C	50
5443	ASIAKAS_568	2.1.2014	B	25
5463	ASIAKAS_570	2.1.2014	A	10
5723	ASIAKAS_597	2.1.2014	A	10
6314	ASIAKAS_658	2.1.2014	A	10
6799	ASIAKAS_708	2.1.2014	B	25
7073	ASIAKAS_736	2.1.2014	C	50
7172	ASIAKAS_746	2.1.2014	A	10
7609	ASIAKAS_792	2.1.2014	B	25
7646	ASIAKAS_796	2.1.2014	B	25
8105	ASIAKAS_845	2.1.2014	A	10
8716	ASIAKAS_908	2.1.2014	C	50
